,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Philippines,89140,105410,121178,131176,134713,138085,140357,143206,151485,155445,148389,126557,119711,118032,120788,123545,125943,129875,137 313,144 553,155 969,164 628,172 779,181 861
Indonesia,3541,6148,10716,16357,20960,24706,31762,41397,55174,68880,78165,81030,90045,96904,104129,114411,123341,130448,140 941,148 153,149 236,149 034,149 837,150 239
India,963,1027,1145,1228,1204,1157,1192,1244,1364,1406,1372,1269,1294,1368,1381,1457,1582,1814,2 058,2 306,2 520,2 702,2 959,3 275
Thailand,6718,6999,7098,6708,5770,5142,5335,5755,6451,6996,6669,5495,4922,4511,4292,4072,3820,3858,3 695,3 323,2 990,2 710,2 650,2 560
Sri Lanka,517,632,749,831,950,1089,1172,1232,1317,1407,1269,1025,885,876,877,900,878,883, 890, 909,1 040,1 118,1 171,1 148
Bangladesh,10,16,19,29,31,35,26,28,27,31,43,46,42,42,50,48,56,62, 65, 67, 70, 275, 594, 650
Nepal,58,104,150,318,426,528,557,640,746,883,1015,1289,1398,1349,1144,957,820,677, 542, 452, 389, 342, 310, 299
Myanmar,91,122,152,118,63,43,35,36,33,30,28,28,27,29,26,27,26,23, 27, 37, 41, 45, 177, 147
Pakistan,75,78,86,95,82,70,58,54,61,62,56,50,43,38,39,49,63,67, 70, 77, 62, 68, 70, 77
Malaysia,61,58,62,61,55,50,44,41,44,47,43,35,29,30,26,30,28,31, 31, 33, 29, 24, 24, 22
Singapore,8,8,8,8,5,6,3,5,3,3,3,3,3,2,2,2,3,3, 3, 3, 3, 2, 1, 2
Others,0,2,5,97,40,60,63,62,85,84,52,36,31,23,27,33,37,37, 46, 48, 46, 40, 78, 100
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
